[{type:"amu",code:"200",name:"水墨丹心",detail:"满腹诗文心有勇，笑以水墨书丹心。",myclass:"broke",imgPath:"goodsImg/amu/200.png"},
{type:"amu",code:"201",name:"巳商佩",detail:"藏剑山庄出品的第四批江湖制式装备。",myclass:"broke",imgPath:"goodsImg/amu/201.png"},
{type:"amu",code:"202",name:"空凰",detail:"“凤凰台上凤凰游，凤去台空江自流”。",myclass:"broke",imgPath:"goodsImg/amu/202.png"},
{type:"amu",code:"203",name:"玉镜台",detail:"壁立千仞，无欲则刚。",myclass:"broke",imgPath:"goodsImg/amu/203.png"},
{type:"amu",code:"204",name:"载风云",detail:"叱咤则风云兴载，鼓动则嵩华倒拔。",myclass:"broke",imgPath:"goodsImg/amu/204.png"},
{type:"amu",code:"205",name:"无欲刚",detail:"壁立千仞，无欲则刚。",myclass:"broke",imgPath:"goodsImg/amu/205.png"},
{type:"amu",code:"206",name:"权无疆",detail:"据说此乃乱汉王莽之物。",myclass:"broke",imgPath:"goodsImg/amu/206.png"},
{type:"amu",code:"207",name:"悬鬓",detail:"盘古之君，龙首蛇身，嘘为风雨，吹为雷电，开目为昼，闭目为夜。死后骨节为山林，体为江海，血为淮渎，毛发为草木。据说此乃盘古不曾化形之鬓发，蕴含至纯混沌之力。",myclass:"broke",imgPath:"goodsImg/amu/207.png"},
{type:"amu",code:"208",name:"天殇痕",detail:"“据说共工撞断不周山后，女娲于山中灵气凝聚之处觅得此物，遂名“天殇痕”。",myclass:"broke",imgPath:"goodsImg/amu/208.png"},
{type:"amu",code:"209",name:"天玺",detail:"轩辕黄帝之玺。",myclass:"broke",imgPath:"goodsImg/amu/209.png"},
{type:"amu",code:"210",name:"冰凝霜",detail:"“南海采珠人潜入深海后于万年巨藻上觅得此物，据说戴之者能御百害，永葆青春。",myclass:"ordin",imgPath:"goodsImg/amu/210.png"},
{type:"amu",code:"211",name:"琉璃兽面坠",detail:"琉璃所制，雕有古朴兽面之纹，高贵华丽、天工自拙。",myclass:"ordin",imgPath:"goodsImg/amu/211.png"},
{type:"amu",code:"212",name:"弱水",detail:"弱水三千，只取一瓢饮。",myclass:"ordin",imgPath:"goodsImg/amu/212.png"},
{type:"amu",code:"213",name:"惜金",detail:"百炼玄金，天下至刚。溶为金液，铸成此物。雕有“惜时如金”四字，据说乃书圣王羲之之物。",myclass:"ordin",imgPath:"goodsImg/amu/213.png"},
{type:"amu",code:"214",name:"酹月",detail:"人生如梦，一樽还酹江月。",myclass:"ordin",imgPath:"goodsImg/amu/214.png"},
{type:"amu",code:"215",name:"竹风",detail:"“据说此乃伶伦采昆仑山南麓万年神竹断面节间而成之物。",myclass:"ordin",imgPath:"goodsImg/amu/215.png"},
{type:"amu",code:"216",name:"宿风",detail:"出自凤凰栖息之风穴，戴之者彷佛能感受到一股王者之气。",myclass:"ordin",imgPath:"goodsImg/amu/216.png"},
{type:"amu",code:"217",name:"雕夜",detail:"行者雕寂夜，寒风锁梵心。",myclass:"ordin",imgPath:"goodsImg/amu/217.png"},
{type:"amu",code:"218",name:"惊玉",detail:"此玉出世之时，山崩地裂，惊天动地。",myclass:"ordin",imgPath:"goodsImg/amu/218.png"},
{type:"amu",code:"219",name:"琼宇",detail:"晋人翟乾祜于江岸玩月，或问：“此中何有？”翟笑曰：“可随我观之。”俄见天门洞开，琼楼玉宇灿然，月中仙女翩然下凡赠翟乾祜此物。",myclass:"ordin",imgPath:"goodsImg/amu/219.png"},
{type:"amu",code:"220",name:"飞仙坠月",detail:"“天外有飞仙，见嫦娥而坠月。",myclass:"green",imgPath:"goodsImg/amu/220.png"},
